IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262834, W: 0.5683, X: -0.3225, Y: 0.5547, Z: 0.5150
IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262834, W: 0.6918, X: -0.2407, Y: 0.5465, Z: 0.4059
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262834, W: -0.5862, X: -0.2892, Y: -0.5516, Z: 0.5181
IMU: 3, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262834, W: -0.7247, X: -0.4180, Y: -0.3414, Z: 0.4283
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 262834, W: 0.4336, X: -0.2610, Y: 0.6729, Z: 0.5396
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 262834, W: 0.5977, X: -0.3951, Y: 0.6169, Z: 0.3256
IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262834, W: -0.3098, X: -0.3320, Y: -0.6146, Z: 0.6451
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262834, W: 0.7555, X: 0.3364, Y: 0.5621, Z: -0.0085
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262834, W: 0.7022, X: 0.0073, Y: 0.6275, Z: -0.3363
IMU: 9, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262834, W: 0.7565, X: 0.2828, Y: 0.5831, Z: -0.0878
IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262943, W: 0.5664, X: -0.3226, Y: 0.5560, Z: 0.5157
IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262943, W: 0.6892, X: -0.2440, Y: 0.5456, Z: 0.4096
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262943, W: -0.5887, X: -0.2871, Y: -0.5515, Z: 0.5166
IMU: 3, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262943, W: -0.7267, X: -0.4159, Y: -0.3402, Z: 0.4281
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 262943, W: 0.4337, X: -0.2606, Y: 0.6739, Z: 0.5383
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 262943, W: 0.5978, X: -0.3953, Y: 0.6174, Z: 0.3243
IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262943, W: -0.3104, X: -0.3312, Y: -0.6143, Z: 0.6455
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262943, W: 0.7560, X: 0.3353, Y: 0.5621, Z: -0.0086
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262943, W: 0.7020, X: 0.0059, Y: 0.6274, Z: -0.3370
IMU: 9, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262943, W: 0.7556, X: 0.2803, Y: 0.5856, Z: -0.0869
IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 263046, W: 0.5491, X: -0.3434, Y: 0.5546, Z: 0.5224
IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 263046, W: 0.6699, X: -0.2597, Y: 0.5247, Z: 0.4566
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 263046, W: -0.5735, X: -0.3143, Y: -0.5402, Z: 0.5296
IMU: 3, Sys: 2, Gyro: 0, Acc: 1, Mag: 3, Time: 263046, W: -0.7067, X: -0.4214, Y: -0.3076, Z: 0.4780
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 263046, W: 0.4335, X: -0.2616, Y: 0.6735, Z: 0.5386
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 263046, W: 0.5979, X: -0.3956, Y: 0.6180, Z: 0.3228
IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 263046, W: -0.3118, X: -0.3296, Y: -0.6137, Z: 0.6462
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 263046, W: 0.7566, X: 0.3334, Y: 0.5625, Z: -0.0081
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 263046, W: 0.7067, X: -0.0015, Y: 0.6258, Z: -0.3300
IMU: 9, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 263046, W: 0.7540, X: 0.2753, Y: 0.5906, Z: -0.0825
IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 263152, W: 0.4979, X: -0.4006, Y: 0.5288, Z: 0.5585
IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 263152, W: 0.5894, X: -0.3259, Y: 0.4570, Z: 0.5810
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 263152, W: -0.5381, X: -0.3489, Y: -0.5320, Z: 0.5529
IMU: 3, Sys: 2, Gyro: 0, Acc: 1, Mag: 3, Time: 263152, W: -0.6594, X: -0.4113, Y: -0.2798, Z: 0.5638
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 263152, W: 0.4303, X: -0.2654, Y: 0.6721, Z: 0.5410
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 263152, W: 0.5971, X: -0.3975, Y: 0.6177, Z: 0.3223
IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 263152, W: -0.3124, X: -0.3254, Y: -0.6149, Z: 0.6468
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 263152, W: 0.7572, X: 0.3318, Y: 0.5626, Z: -0.0076
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 263152, W: 0.7132, X: -0.0119, Y: 0.6246, Z: -0.3180
IMU: 9, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 263152, W: 0.7551, X: 0.2680, Y: 0.5938, Z: -0.0746
IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 263257, W: 0.4532, X: -0.4355, Y: 0.5032, Z: 0.5931
